product_name,variant_name,variant_price,variant_sku,variant_stock,parent,Favourite,Product Description,Short Description,Information,Variant Header 1,Variant Header 2,Variant Header 3,Variant Header 4,discount code,GroupName,Sort,Image,category_name,sub_category_name,child_level_1,child_level_2,child_level_3,child_level_4,child_level_5
,1/2 Flat Face Nipple X 1-1/16 UNO Female,125.65,M-FIRG-34-SAE,10,FIRG-M-SAE,,,,,2-Jan,1  1/16,,,,7,817,,,,,,,,
,3/8 Flat Face Nipple X 3/4 UNO Female,77.35,M-FIRG-38-1/2-SAE,7,FIRG-M-SAE,,,,,8-Mar,4-Mar,,,,7,612,,,,,,,,
G1,,,,,,,"Meets Flame Resistance Acceptance Designation ""MSHA 2G"".",SAE100R1 GATES 1-WIRE,,Hose ID,Hose OD (mm),Max W.P. (psi),Roll/Reel Length (m),,,10110,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312353_1709547361_1709546669_G1.jpg,Hydraulic , Hose , Medium Pressure Hose,,,,
,1-1/4 ID  1-Wire SAE100R1AT 925 PSI W.P.,100.66,G1-20,75.1,G1,,,,,1 1/4,43.4,925,37,,15,20,,,,,,,,
,1-1/2 1-Wire SAE100R1AT  725 PSI W.P.,120.51,G1-24,159.56,G1,,,,,1 1/2,49.8,725,37,,15,24,,,,,,,,
,2-0 1-Wire SAE100R1AT  600 P.S.I.  W.P.,148.9,G1-32,96.15,G1,,,,,2,63.8,600,635,,15,32,,,,,,,,
G1H,,,,,,,"Meets Flame Resistance Acceptance Designation ""MSHA 2G"".",SAE100R1 GATES 1-WIRE HI-TEMP,,Hose ID,Hose OD (mm),Max W.P. (psi),Roll/Reel Length (m),,,10120,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312353_1709547361_1709546669_G1H.jpg,Hydraulic , Hose , Medium Pressure Hose,,,,
,1/4 SAE100R1T High-Temp 1-Wire Hose 2750 P.S.I.  W.P.,29.48,G1H-04,94.1,G1H,,,,,4-Jan,13.5,2750,134,,15,4,,,,,,,,
,3/8 SAE100R1T High-Temp 1-Wire Hose 2750 P.S.I.  W.P.,33.06,G1H-06,117.3,G1H,,,,,8-Mar,17.3,2250,117,,15,6,,,,,,,,
,1/2 SAE100R1T High-Temp 1-Wire Hose 2000 P.S.I.  W.P.,39.25,G1H-08,74.7,G1H,,,,,2-Jan,20.3,2000,178,,15,8,,,,,,,,
,5/8 SAE100R1T High-Temp 1-Wire Hose  1500 P.S.I.  W.P.,POA,G1H-10,0,G1H,,,,,8-May,23.6,1500,67,,0,10,,,,,,,,
,3/4 SAE100R1T High-Temp 1-Wire Hose  1250 P.S.I.  W.P.,60.52,G1H-12,50.564,G1H,,,,,4-Mar,27.7,1250,67,,15,12,,,,,,,,
,1-0 SAE100R1T High-Temp 1-Wire Hose  1000 P.S.I.  W.P.,POA,G1H-16,0,G1H,,,,,1,35.5,1000,50,,0,16,,,,,,,,
G2H,,,,,,,"Meets Flame Resistance Acceptance Designation ""MSHA 2G"".",SAE100R2 GATES 2-WIRE HI-TEMP,,Hose ID,Hose OD (mm),Max W.P. (psi),Roll/Reel Length (m),,,10170,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312352_1709547359_1709546669_G2H.jpg,Hydraulic , Hose , High Pressure Hose,,,,
,1-1/4 2-Wire SAE100R2AT High Temp. 1825 PSI W.P.,192.78,G2H-20,0,G2H,,,,,1 1/4,47.2,1825,37,,15,20,,,,,,,,
,1-1/2 2-Wire SAE100R2AT High Temp,POA,G2H-24,0,G2H,,,,,1 1/2,53.6,1300,37,,0,24,,,,,,,,
,2 2-Wire SAE100R2AT High Temp. 1825 PSI W.P.,POA,G2H-32,0,G2H,,,,,2,66.5,1175,37,,0,32,,,,,,,,
G2XH,,,,,,,"Meets Flame Resistance Acceptance Designation ""MSHA 2G"".",SAE100R2 GATES 2-WIRE XTREME - HI-TEMP,,Hose ID,Hose OD (mm),Max W.P. (psi),Roll/Reel Length (m),,,10180,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312353_1709547359_1709546669_G2XH.jpg,Hydraulic , Hose , High Pressure Hose,,,,
,1/4 GATES HIGH TEMP 2WB,47.98,G2XH-04,13.445,G2XH,,,,,4-Jan,15,6000,168,,15,4,,,,,,,,
,3/8 2.W.B HIGH TEMP HOSE,58.45,G2XH-06,242.54,G2XH,,,,,8-Mar,18.8,5000,122,,15,6,,,,,,,,
,1/2 2.W.B HIGH TEMP HOSE,61.12,G2XH-08,188.382,G2XH,,,,,2-Jan,21.8,4250,101,,15,8,,,,,,,,
,5/8 2 W.B High Temp Hose,72.01,G2XH-10,121.67,G2XH,,,,,8-May,25.1,3625,67,,15,10,,,,,,,,
,3/4 2 WIRE HIGH TEMP HOSE,89.03,G2XH-12,129.392,G2XH,,,,,4-Mar,29.2,3100,67,,15,12,,,,,,,,
,1 INCH 2 W.B HIGH TEMP HOSE,129.2,G2XH-16,185.785,G2XH,,,,,1,37.6,2500,50,,15,16,,,,,,,,
,1-1/4 2-Wire High Temp. Hose,273.93,G2XH-20,38.205,G2XH,,,,,1 1/4,47.2,2250,40,,15,20,,,,,,,,
,1-1/2 SAE100R2TYPE S High-Temp(Blue)2-Wire Braid 1800 PSI WP,350.33,G2XH-PERFORATED-24,152.837,G2XH,,,,,1 1/2,54.6,1800,40,,15,24,,,,,,,,
,2-0 SAE100R2 TYPE S High-Temp(Blue) 2-Wire Braid 1500 PSI WP,393.12,G2XH-PERFORATED-32,177.3,G2XH,,,,,2,67.3,1500,40,,15,32,,,,,,,,
GBML1M,,,,,,,,BSPT Male X Metric Light (LL) Male,,BSPT M,Metric M,,,,,12420,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312569_1709547698_1709546669_GBML1M.jpg,Hydraulic , Adaptors , Straight Adaptors,,,,
,1/8 BSPTMaleX10mmMetricMale(6LL)(Grease),5.5,GBML1M-02-10M,1020,GBML1M,,,,,8-Jan,M10X1.0,,,,2,02-10M,,,,,,,,
GBML9M,,,,,,,,BSPT Male X Metric Light (LL) Male 90°,,BSPT M,Metric M,,,,,13450,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312570_1709547698_1709546669_GBML9M.jpg,Hydraulic , Adaptors , 90° Adaptors,,,,
,1/8 BSPT Male X 10mm Metric Male(6LL)90°,28.85,GBML9M-02-10M,44,GBML9M,,,,,8-Jan,M10X1.0,,,,2,02-10M,,,,,,,,
G-BSPBJ,,,,,,,,British Std Pipe Banjo,,Banjo,Hose ID,,Cut Off Factor mm,,,10430,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312525_1709547630_1709546670_G-BSPBJ.jpg,Hydraulic , Fittings , Gates , G - MegaCrimp One Piece Tail , BSP MegaCrimp Tails,,
,3/4 BSP Banjo X 3/4 Straight Hose Tail,POA,12BSPBJ-12G,0,G-BSPBJ,,,,,4-Mar,4-Mar,,43.7,,0,12-Dec,,,,,,,,
,1/4 BSP Banjo X 1/4 Straight Hose Tail,37.83,4BSPBJ-4G,16,G-BSPBJ,,,,,4-Jan,4-Jan,,30.3,,14,4-Apr,,,,,,,,
,3/8 BSP Banjo X 3/8 Straight Hose Tail,69.44,6BSPBJ-6G,2,G-BSPBJ,,,,,8-Mar,8-Mar,,32.4,,14,6-Jun,,,,,,,,
,1/2 BSP Banjo X 1/2 Straight Hose Tail,POA,8BSPBJ-8G,0,G-BSPBJ,,,,,2-Jan,2-Jan,,38.2,,0,8-Aug,,,,,,,,
G-DBJ,,,,,,,,International Thread Metric 7642 DIN Banjo,,Banjo,Hose ID,,Cut Off Factor mm,,,10590,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312528_1709547635_1709546670_G-DBJ.jpg,Hydraulic , Fittings , Gates , G - MegaCrimp One Piece Tail , Metric MegaCrimp Tails,,
,10mm Metric Banjo X 1/4 Straight Hose Tail,28.95,10DBJ-4G,9,G-DBJ,,,,,10mm,4-Jan,,26.3,,14,4-Oct,,,,,,,,
,12mm Metric Banjo X 1/4 Straight Hose Tail,36.28,12DBJ-4G,10,G-DBJ,,,,,12mm,4-Jan,,28.3,,14,4-Dec,,,,,,,,
,12mm Metric Banjo X 3/8 Straight Hose Tail,POA,12DBJ-6G,0,G-DBJ,,,,,12mm,8-Mar,,28.1,,0,6-Dec,,,,,,,,
,14mm Metric Banjo X 3/8 Straight Hose Tail,44.77,14DBJ-6G,6,G-DBJ,,,,,14mm,8-Mar,,30.4,,14,14 - 06,,,,,,,,
,16mm Metric Banjo X 3/8 Straight Hose Tail,40.13,16DBJ-6G,11,G-DBJ,,,,,16mm,8-Mar,,32.4,,14,16 - 06,,,,,,,,
,18mm Metric Banjo X 3/8 Straight Hose Tail,POA,18DBJ-6G,0,G-DBJ,,,,,18mm,8-Mar,,34.4,,0,18 - 06,,,,,,,,
,18mm Metric Banjo X 1/2 Straight Hose Tail,57.93,18DBJ-8G,12,G-DBJ,,,,,18mm,2-Jan,,34.7,,14,18 - 08,,,,,,,,
,22mm Metric Banjo X 5/8 Straight Hose Tail,POA,22DBJ-10G,0,G-DBJ,,,,,22mm,8-May,,38.6,,0,22 - 10,,,,,,,,
,26mm Metric Banjo X 3/4 Straight Hose Tail,POA,26DBJ-12G,0,G-DBJ,,,,,26mm,4-Mar,,43.7,,0,26 - 12,,,,,,,,
,30mm Metric Banjo X 1 Straight Hose Tail,POA,30DBJ-16G,0,G-DBJ,,,,,30mm,1,,52.4,,0,30 - 16,,,,,,,,
GFAJFS,,,,,,,,JIC FEMALE SWIVEL X GREASE STRAIGHT,,JIC F,Hose OD,,,,,16150,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312574_1709547702_1709546670_GFAJFS.jpg,Grease , Grease Fittings , JIC Grease Tails,,,,
,7/16 JIC Female SwivelX8.6mm GreaseFieldAttachableHose  Tail,11.8,GFAJFS-04-03,3539,GFAJFS,,,,,16-Jul,8.6mm,,,,6,3-Apr,,,,,,,,
GFAJFS45S,,,,,,,,JIC FEMALE SWIVEL X GREASE SWEPT 45°,,JIC F,Hose OD,,,,,16160,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312575_1709547703_1709546671_GFAJFS45S.jpg,Grease , Grease Fittings , JIC Grease Tails,,,,
,7/16 JICFemaleSwivel45°X 8.6mmGreaseFieldAttachableHoseTail,22.7,GFAJFS45S-04-03,438,GFAJFS45S,,,,,16-Jul,8.6mm,,,,6,3-Apr,,,,,,,,
GFAJFS90S,,,,,,,,JIC FEMALE SWIVEL X GREASE SWEPT 90°,,JIC F,Hose OD,,,,,16170,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312575_1709547703_1709546672_GFAJFS90S.jpg,Grease , Grease Fittings , JIC Grease Tails,,,,
,7/16 JICFemaleSwivel90°X8.6mmGreaseFieldAttachableHoseTail,22.7,GFAJFS90S-04-03,596,GFAJFS90S,,,,,16-Jul,8.6mm,,,,6,3-Apr,,,,,,,,
GFAMSP,,,,,,,,METRIC STAND PIPE X GREASE STRAIGHT,,Metric M,Hose OD,,,,,16180,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312576_1709547704_1709546672_GFAMSP.jpg,Grease , Grease Fittings , Metric Grease Tails,,,,
,6LL MetricStandPipe(20mm long)X8.6GreaseFieldAttachableHoseT,6.1,GFAMSP-10M-03,195,GFAMSP,,,,,M10,8.6mm,,,,6,10M-03,,,,,,,,
,6LL MetricStandpipe(30mmLong)X8.6mm FieldAttachable HoseTail,6.25,GFAMSPL-10M-03,331,GFAMSP,,,,,M10,8.6mm,,,,6,10M-03,,,,,,,,
GFAMSP4,,,,,,,,METRIC STAND PIPE X GREASE SWEPT 45°,,Metric,Hose OD,,,,,16190,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312576_1709547704_1709546673_GFAMSP4.jpg,Grease , Grease Fittings , Metric Grease Tails,,,,
,6LLMetricStandpipe45°X8.6GreaseFieldAttachableHoseTail,12.6,GFAMSP4-10M-03,300,GFAMSP4,,,,,M10,8.6mm,,,,6,10M-03,,,,,,,,
GFAMSP9,,,,,,,,METRIC STAND PIPE X GREASE SWEPT 90°,,Metric,Hose OD,,,,,16200,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312577_1709547704_1709546674_GFAMSP9.jpg,Grease , Grease Fittings , Metric Grease Tails,,,,
,6LLMetricStandpipe90°X8.6GreaseFieldAttachableHoeTail,12.6,GFAMSP9-10M-03,205,GFAMSP9,,,,,M10,8.6mm,,,,6,10M-03,,,,,,,,
,6LLMetricStandpipe90L°X8.6GreaseFieldAttachableHoseTail,12.6,GFAMSP9L-10M-03,300,GFAMSP9,,,,,M10,8.6mm,,,,6,10M-03,,,,,,,,
GFAN,,,,,,,,GREASE FERRUEL SUIT,,,Hose OD,,,,,16140,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312574_1709547702_1709546675_GFAN.jpg,Grease , Grease Fittings , Grease Ferrules,,,,
,Field Attachable Ferrule Suit 8.6 Grease Hose,5.7,GFAN-03,3998,GFAN,,,,,,8.6mm,,,,6,3,,,,,,,,
G-FBSPORX45,,,,,,,,Female British Standard Parallel Pipe O-Ring Swivel - 45° Bent Tube,,BSPP F,Hose ID,Drop Length mm,Cut Off Factor mm,,,10400,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312524_1709547628_1709546675_G-FBSPORX45.jpg,Hydraulic , Fittings , Gates , G - MegaCrimp One Piece Tail , BSP MegaCrimp Tails,,
,5/8 BSPP Female X 5/8 45 Hose Tail,54.58,10FBSPORX45-10G,20,G-FBSPORX45,,,,,5/8–14,8-May,21.3,52.1,,14,10-Oct,,,,,,,,
,5/8 BSPP Female X 1/2 45° Hose Tail,118.8,10FBSPORX45-8G,24,G-FBSPORX45,,,,,5/8–14,2-Jan,23,52.3,,14,8-Oct,,,,,,,,
,3/4 BSPP Female X 5/8 45 Hose Tail,POA,12FBSPORX45-10G,0,G-FBSPORX45,,,,,3/4–14,8-May,32.2,62,,0,10-Dec,,,,,,,,
,3/4 BSPP Female X 3/4 45 Hose Tail,78.27,12FBSPORX45-12G,34,G-FBSPORX45,,,,,3/4–14,4-Mar,28.3,64.4,,14,12-Dec,,,,,,,,
,1 BSPP Female X 1 45° Hose Tail,137.56,16FBSPORX45-16G,20,G-FBSPORX45,,,,,1–11,1,30.9,78.8,,14,16 - 16,,,,,,,,
,1 1/4 BSPP Female X 1 1/4 45° Hose Tail,330.53,20FBSPORX45-20G,8,G-FBSPORX45,,,,,1 1/4–11,1 1/4,37.5,93.4,,14,20 - 20,,,,,,,,
,1/4 BSPP Female X 1/4 45° Hose Tail,25.04,4FBSPORX45-4G,44,G-FBSPORX45,,,,,1/4–19,4-Jan,11.5,31.1,,14,4-Apr,,,,,,,,
,3/8 BSPP Female X 1/4 45° Hose Tail,104.09,6FBSPORX45-4G,38,G-FBSPORX45,,,,,3/8–19,4-Jan,15.4,37.8,,14,4-Jun,,,,,,,,
,3/8 BSPP Female X 3/8 45° Hose Tail,26.2,6FBSPORX45-6G,32,G-FBSPORX45,,,,,3/8–19,8-Mar,15.2,39,,14,6-Jun,,,,,,,,
,1/2 BSPP Female X 3/8 45° Hose Tail,53.23,8FBSPORX45-6G,28,G-FBSPORX45,,,,,1/2–14,8-Mar,19.3,43,,14,6-Aug,,,,,,,,
,1/2 BSPP Female X 1/2 45° Hose Tail,33.45,8FBSPORX45-8G,6,G-FBSPORX45,,,,,1/2–14,2-Jan,17,44,,14,8-Aug,,,,,,,,
G-FBSPORX90,,,,,,,,Female British Standard Parallel Pipe O-Ring Swivel - 90° Bent Tube,,BSPP F,Hose ID,Drop Length mm,Cut Off Factor mm,,,10410,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312524_1709547629_1709546676_G-FBSPORX90.jpg,Hydraulic , Fittings , Gates , G - MegaCrimp One Piece Tail , BSP MegaCrimp Tails,,
,5/8 BSPP Female X 5/8 90 Hose Tail,46.49,10FBSPORX90-10G,20,G-FBSPORX90,,,,,5/8–14,8-May,46,46.6,,14,10-Oct,,,,,,,,
,5/8 BSPP Female X 1/2 90° Hose Tail,POA,10FBSPORX90-8G,0,G-FBSPORX90,,,,,5/8–14,2-Jan,46,42.8,,0,8-Oct,,,,,,,,
,3/4 BSPP Female X 5/8 90 Hose Tail,92.85,12FBSPORX90-10G,13,G-FBSPORX90,,,,,3/4–14,8-May,60,46.6,,14,10-Dec,,,,,,,,
,3/4 BSPP Female X 3/4 90 Hose Tail,90.73,12FBSPORX90-12G,194,G-FBSPORX90,,,,,3/4–14,4-Mar,60,56,,14,12-Dec,,,,,,,,
,1 BSPP Female X 3/4 90° Hose Tail,159.23,16FBSPORX90-12G,22,G-FBSPORX90,,,,,1–11,4-Mar,70,61.2,,14,16 - 12,,,,,,,,
,1 BSPP Female X 1 90° Hose Tail,134.33,16FBSPORX90-16G,14,G-FBSPORX90,,,,,1–11,1,70,74.3,,14,16 - 16,,,,,,,,
,1 1/4 BSPP Female X 1 1/4 90° Hose Tail,277.95,20FBSPORX90-20G,11,G-FBSPORX90,,,,,1 1/4–11,1 1/4,80,82.8,,14,20 - 20,,,,,,,,
,1/4 BSPP Female X 1/4 90° Hose Tail,23.8,4FBSPORX90-4G,159,G-FBSPORX90,,,,,1/4–19,4-Jan,23.3,26.5,,14,4-Apr,,,,,,,,
,3/8 BSPP Female X 1/4 90° Hose Tail,31.54,6FBSPORX90-4G,27,G-FBSPORX90,,,,,3/8–19,4-Jan,32,27,,14,4-Jun,,,,,,,,
,3/8 BSPP Female X 3/8 90° Hose Tail,26.62,6FBSPORX90-6G,108,G-FBSPORX90,,,,,3/8–19,8-Mar,32,34,,14,6-Jun,,,,,,,,
,1/2 BSPP Female X 3/8 90° Hose Tail,34.45,8FBSPORX90-6G,22,G-FBSPORX90,,,,,1/2–14,8-Mar,37.5,32.2,,14,6-Aug,,,,,,,,
,1/2 BSPP Female X 1/2 90° Hose Tail,35.13,8FBSPORX90-8G,14,G-FBSPORX90,,,,,1/2–14,2-Jan,37.3,40.5,,14,8-Aug,,,,,,,,
G-FBSPORX90BL,,,,,,,,Female British Standard Parallel Pipe O-Ring Swivel - 90° Block,,BSPP F,Hose ID,Drop Length mm,Cut Off Factor mm,,,10420,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312525_1709547629_1709546676_G-FBSPORX90BL.jpg,Hydraulic , Fittings , Gates , G - MegaCrimp One Piece Tail , BSP MegaCrimp Tails,,
,3/4 BSPP Female X 3/4 90 Hose Tail,74.94,12FBSPORX90BL-12G,13,G-FBSPORX90BL,,,,,3/4–14,4-Mar,35,27,,14,12-Dec,,,,,,,,
,1 BSPP Female X 1 90° Hose Tail,128.19,16FBSPORX90BL-16G,10,G-FBSPORX90BL,,,,,1–11,1,27,34.6,,14,16 - 16,,,,,,,,
,1/4 BSPP Female X 1/4 90° Hose Tail,33.74,4FBSPORX90BL-4G,18,G-FBSPORX90BL,,,,,1/4–19,4-Jan,18,18.2,,14,4-Apr,,,,,,,,
,3/8 BSPP Female X 1/4 90° Hose Tail,34.22,6FBSPORX90BL-4G,4,G-FBSPORX90BL,,,,,3/8–19,4-Jan,21.5,22,,14,4-Jun,,,,,,,,
,3/8 BSPP Female X 3/8 90° Hose Tail,34.22,6FBSPORX90BL-6G,12,G-FBSPORX90BL,,,,,3/8–19,8-Mar,21,23,,14,6-Jun,,,,,,,,
,1/2 BSPP Female X 3/8 90° Hose Tail,60.58,8FBSPORX90BL-6G,2,G-FBSPORX90BL,,,,,1/2–14,8-Mar,24,23.5,,14,6-Aug,,,,,,,,
,1/2 BSPP Female X 1/2 90° Hose Tail,46.24,8FBSPORX90BL-8G,7,G-FBSPORX90BL,,,,,1/2–14,2-Jan,24,23.5,,14,8-Aug,,,,,,,,
G-FBSPPORX,,,,,,,,Female British Standard Parallel Pipe O-Ring Swivel,,BSPP F,Hose ID,,Cut Off Factor mm,,,10390,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312524_1709547628_1709546677_G-FBSPORX.jpg,Hydraulic , Fittings , Gates , G - MegaCrimp One Piece Tail , BSP MegaCrimp Tails,,
,5/8 BSPP Female X 5/8 Straight Hose Tail,37.08,10FBSPORX-10G,23,G-FBSPPORX,,,,,5/8–14,8-May,,18.5,,14,10-Oct,,,,,,,,
,5/8 BSPP Female X 1/2 Straight Hose Tail,36.3,10FBSPORX-8G,20,G-FBSPPORX,,,,,5/8–14,2-Jan,,19.8,,14,8-Oct,,,,,,,,
,3/4 BSPP Female X 5/8 Straight Hose Tail,42.06,12FBSPORX-10G,17,G-FBSPPORX,,,,,3/4–14,8-May,,20.5,,14,10-Dec,,,,,,,,
,3/4 BSPP Female X 3/4 Straight Hose Tail,46.55,12FBSPORX-12G,54,G-FBSPPORX,,,,,3/4–14,4-Mar,,20.6,,14,12-Dec,,,,,,,,
,3/4 BSPP Female X 1/2 Straight Hose Tail,39.62,12FBSPORX-8G,0,G-FBSPPORX,,,,,3/4–14,2-Jan,,21.5,,14,8-Dec,,,,,,,,
,1 BSPP Female X 3/4 Straight Hose Tail,65.49,16FBSPORX-12G,40,G-FBSPPORX,,,,,1–11,4-Mar,,22.3,,14,16 - 12,,,,,,,,
,1 BSPP Female X 1 Straight Hose Tail,76.14,16FBSPORX-16G,30,G-FBSPPORX,,,,,1–11,1,,39.2,,14,16 - 16,,,,,,,,
,1 1/4 BSPP Female X 1 1/4 Straight Hose Tail,108.67,20FBSPORX-20G,2,G-FBSPPORX,,,,,1 1/4–11,1 1/4,,29.5,,14,20 - 20,,,,,,,,
,1/8 BSPP Female X 1/4 Straight Hose Tail,22.51,2FBSPPX-4G,10,G-FBSPPORX,,,,,1/8–28,4-Jan,,18,,14,4-Feb,,,,,,,,
,1/4 BSPP Female X 1/4 Straight Hose Tail,16.94,4FBSPORX-4G,76,G-FBSPPORX,,,,,1/4–19,4-Jan,,31.1,,14,4-Apr,,,,,,,,
,3/8 BSPP Female X 1/4 Straight Hose Tail,20.6,6FBSPORX-4G,49,G-FBSPPORX,,,,,3/8–19,4-Jan,,20.6,,14,4-Jun,,,,,,,,
,3/8 BSPP Female X 3/8 Straight Hose Tail,17.96,6FBSPORX-6G,7,G-FBSPPORX,,,,,3/8–19,8-Mar,,16.2,,14,6-Jun,,,,,,,,
,3/8 BSPP Female X 1/2 Straight Hose Tail,33.88,6FBSPORX-8G,21,G-FBSPPORX,,,,,3/8–19,2-Jan,,29,,14,8-Jun,,,,,,,,
,1/2 BSPP Female X 3/8 Straight Hose Tail,22.24,8FBSPORX-6G,4,G-FBSPPORX,,,,,1/2–14,8-Mar,,17.9,,14,6-Aug,,,,,,,,
,1/2 BSPP Female X 1/2 Straight Hose Tail,24.2,8FBSPORX-8G,1,G-FBSPPORX,,,,,1/2–14,2-Jan,,17.8,,14,8-Aug,,,,,,,,
G-FDHORX,,,,,,,,Female DIN 24° Cone Swivel - Heavy Series with O-Ring,,MDH F,Hose ID,,Cut Off Factor mm,,,10530,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312527_1709547633_1709546677_G-FDHORX.jpg,Hydraulic , Fittings , Gates , G - MegaCrimp One Piece Tail , Metric MegaCrimp Tails,,
,M18X1.5 MDH Female X 1/4 Straight Hose Tail,20.37,10FDHORX-4G,10,G-FDHORX,,,,,M18X1.5,4-Jan,,29.3,,14,4-Oct,,,,,,,,
,M18X1.5 MDH Female X 3/8 Straight Hose Tail,26.98,10FDHORX-6G,10,G-FDHORX,,,,,M18X1.5,8-Mar,,27.1,,14,6-Oct,,,,,,,,
,M20X1.5 MDH Female X 1/4 Straight Hose Tail,POA,12FDHORX-4G,0,G-FDHORX,,,,,M20X1.5,4-Jan,,29.7,,0,4-Dec,,,,,,,,
,M20X1.5 MDH Female X 3/8 Straight Hose Tail,21.78,12FDHORX-6G,30,G-FDHORX,,,,,M20X1.5,8-Mar,,27.6,,14,6-Dec,,,,,,,,
,M20X1.5 MDH Female X 1/2 Straight Hose Tail,35.28,12FDHORX-8G,20,G-FDHORX,,,,,M20X1.5,2-Jan,,32.7,,14,8-Dec,,,,,,,,
,M22X1.5 MDH Female X 3/8 Straight Hose Tail,24.71,14FDHORX-6G,11,G-FDHORX,,,,,M22X1.5,8-Mar,,30.1,,14,14 - 06,,,,,,,,
,M22X1.5 MDH Female X 1/2 Straight Hose Tail,66.9,14FDHORX-8G,10,G-FDHORX,,,,,M22X1.5,2-Jan,,30.5,,14,14 - 08,,,,,,,,
,M24X1.5 MDH Female X 5/8 Straight Hose Tail,56.74,16FDHORX-10G,20,G-FDHORX,,,,,M24X1.5,8-May,,33.5,,14,16 - 10,,,,,,,,
,M24X1.5 MDH Female X 1/2 Straight Hose Tail,31.19,16FDHORX-8G,20,G-FDHORX,,,,,M24X1.5,2-Jan,,33.5,,14,16 - 08,,,,,,,,
,M30X2.0 MDH Female X 5/8 Straight Hose Tail,49.36,20FDHORX-10G,15,G-FDHORX,,,,,M30X2.0,8-May,,35.5,,14,20 - 10,,,,,,,,
,M30X2.0 MDH Female X 3/4 Straight Hose Tail,62.61,20FDHORX-12G,28,G-FDHORX,,,,,M30X2.0,4-Mar,,38.5,,14,20 - 12,,,,,,,,
,M30X2.0 MDH Female X 1/2 Straight Hose Tail,134.49,20FDHORX-8G,20,G-FDHORX,,,,,M30X2.0,2-Jan,,38.1,,14,20 - 08,,,,,,,,
,M36X2.0 MDH Female X 3/4 Straight Hose Tail,75.2,25FDHORX-12G,35,G-FDHORX,,,,,M36X2.0,4-Mar,,39,,14,25 - 12,,,,,,,,
,M36X2.0 MDH Female X 1 Straight Hose Tail,100.45,25FDHORX-16G,16,G-FDHORX,,,,,M36X2.0,1,,45.7,,14,25 - 16,,,,,,,,
,M42X2.0 MDH Female X 1 Straight Hose Tail,102.21,30FDHORX-16G,24,G-FDHORX,,,,,M42X2.0,1,,49.2,,14,30 - 16,,,,,,,,
,M52X2.0 MDH Female X 1 1/4 Straight Hose Tail,POA,38FDHORX-20G,0,G-FDHORX,,,,,M52X2.0,1 1/4,,57.8,,0,38 - 20,,,,,,,,
,M14X1.5 MDH Female X 1/4 Straight Hose Tail,POA,6FDHORX-4G,0,G-FDHORX,,,,,M14X1.5,4-Jan,,24.5,,0,4-Jun,,,,,,,,
,M16X1.5 MDH Female X 1/4 Straight Hose Tail,19.46,8FDHORX-4G,49,G-FDHORX,,,,,M16X1.5,4-Jan,,29.7,,14,4-Aug,,,,,,,,
G-FDHORX45,,,,,,,,Female DIN 24° Cone Swivel - Heavy Series with O-Ring - 45° Bent Tube,,MDH F,Hose ID,Drop Length mm,Cut Off Factor mm,,,10540,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312527_1709547633_1709546678_G-FDHORX45.jpg,Hydraulic , Fittings , Gates , G - MegaCrimp One Piece Tail , Metric MegaCrimp Tails,,
,M18X1.5 MDH Female X 1/4 45° Hose Tail,30.67,10FDHORX45-4G,20,G-FDHORX45,,,,,M18X1.5,4-Jan,17.9,38.3,,14,4-Oct,,,,,,,,
,M20X1.5 MDH Female X 3/8 45° Hose Tail,POA,10FDHORX45-6G,0,G-FDHORX45,,,,,M18X1.5,8-Mar,,,,0,6-Oct,,,,,,,,
,M20X1.5 MDH Female X 3/8 45° Hose Tail,POA,12FDHORX45-4G,0,G-FDHORX45,,,,,M20X1.5,4-Jan,,,,0,4-Dec,,,,,,,,
,M20X1.5 MDH Female X 3/8 45° Hose Tail,28.77,12FDHORX45-6G,8,G-FDHORX45,,,,,M20X1.5,8-Mar,18.9,40.9,,14,6-Dec,,,,,,,,
,M22X1.5 MDH Female X 3/8 45° Hose Tail,POA,14FDHORX45-6G,0,G-FDHORX45,,,,,M22X1.5,8-Mar,21,43,,0,14 - 06,,,,,,,,
